Name,Team,Position,Height(inches),Weight(lbs),Age,code,Team,Payroll(millions),Wins
Jose Molina, ANA, Catcher,74,220,31.74,WAS,Nationals,81.34,98
Jose Molina, ANA, Catcher,74,220,31.74,CIN,Reds,82.2,97
Jose Molina, ANA, Catcher,74,220,31.74,NYY,Yankees,197.96,95
Jose Molina, ANA, Catcher,74,220,31.74,SF,Giants,117.62,94
Jose Molina, ANA, Catcher,74,220,31.74,ATL,Braves,83.31,94
Jose Molina, ANA, Catcher,74,220,31.74,OAK,Athletics,55.37,94
Jose Molina, ANA, Catcher,74,220,31.74,TEX,Rangers,120.51,93
Jose Molina, ANA, Catcher,74,220,31.74,BAL,Orioles,81.43,93
Jose Molina, ANA, Catcher,74,220,31.74,TB,Rays,64.17,90
Jose Molina, ANA, Catcher,74,220,31.74,ANA,Angels,154.49,89
Jose Molina, ANA, Catcher,74,220,31.74,DET,Tigers,132.3,88
Jose Molina, ANA, Catcher,74,220,31.74,STL,Cardinals,110.3,88
Jose Molina, ANA, Catcher,74,220,31.74,LA,Dodgers,95.14,86
Jose Molina, ANA, Catcher,74,220,31.74,CWS,White Sox,96.92,85
Jose Molina, ANA, Catcher,74,220,31.74,MLW,Brewers,97.65,83
Jose Molina, ANA, Catcher,74,220,31.74,PHI,Phillies,174.54,81
Jose Molina, ANA, Catcher,74,220,31.74,ARZ,Diamondbacks,74.28,81
Jose Molina, ANA, Catcher,74,220,31.74,PIT,Pirates,63.43,79
Jose Molina, ANA, Catcher,74,220,31.74,SD,Padres,55.24,76
Jose Molina, ANA, Catcher,74,220,31.74,SEA,Mariners,81.97,75
Jose Molina, ANA, Catcher,74,220,31.74,NYM,Mets,93.35,74
Jose Molina, ANA, Catcher,74,220,31.74,TOR,Blue Jays,75.48,73
Jose Molina, ANA, Catcher,74,220,31.74,KC,Royals,60.91,72
Jose Molina, ANA, Catcher,74,220,31.74,FLA,Marlins,118.07,69
Jose Molina, ANA, Catcher,74,220,31.74,BOS,Red Sox,173.18,69
Jose Molina, ANA, Catcher,74,220,31.74,CLE,Indians,78.43,68
Jose Molina, ANA, Catcher,74,220,31.74,MIN,Twins,94.08,66
Jose Molina, ANA, Catcher,74,220,31.74,COL,Rockies,78.06,64
